day,sl
"14,162,3,179,14,79,3,263,14,46,3,296,14,26,3,316,14,47,3,295,14,216,3,126,14,127,3,215,14,21,3,319,15,2,14,47,3,293,9,2,14,51,3,291,14,94,3,247,14,59,3,283,14,74,3,268,14,164,3,178,14,64,3,278,14,43,3,286,9,12,15,1,14,98,3,244,14,35,3,307,14,61,3,281,14,66,3,276,14,34,3,308,14,24,3,317,14,27,3,315,14,43,3,299,14,22,3,2363,9,2,15,2,3,682",2
"14,101,10,241,14,86,9,0,10,256,14,76,10,266,14,71,10,271,14,44,9,0,10,298,14,30,10,312,14,42,10,300,14,24,10,318,14,55,10,287,14,4,10,338,14,28,10,314,14,21,10,320,14,65,10,277,14,29,10,313,14,72,10,270,14,22,10,320,14,12,10,330,14,8,10,334,9,0,10,341,9,293,10,4482",2
"14,141,1,201,14,66,1,276,14,31,1,310,14,128,1,214,14,128,1,214,14,70,1,272,14,86,1,120,12,137,14,149,1,97,12,93,9,4,14,188,1,154,14,62,1,279,14,71,1,243,9,29,14,38,1,304,14,47,1,193,12,103,14,31,1,309,9,2,14,35,1,158,12,150,14,62,1,279,14,35,1,307,14,62,1,279,14,29,1,311,9,2,14,24,1,318,14,35,1,307,14,43,1,260,15,20,9,20,14,57,1,204,12,82,14,13,1,324,8,5,14,43,1,299,14,125,1,217,14,53,1,285,9,4,14,29,1,302,9,11,1,332,9,10,1,120,12,220,9,2,1,330,9,12,1,665,9,18",2
"14,179,0,163,14,307,0,35,14,93,0,237,9,12,14,233,15,62,9,47,14,70,0,272,14,224,0,118,14,35,0,290,9,18,14,57,0,285,14,38,0,304,14,74,0,97,9,171,14,31,0,287,9,24,14,31,9,47,15,186,9,78,14,35,0,239,15,35,9,35,14,43,0,299,14,35,0,295,9,13,14,62,0,279,14,43,9,231,15,8,9,61,14,31,0,310,14,57,0,285,14,9,0,316,9,18,14,8,0,326,9,8,14,36,0,160,9,146,14,24,0,287,9,31,14,35,0,239,9,13,15,22,9,35,14,11,0,331,9,248,0,56,15,35,9,5,0,267,12,68,9,8,0,171,9,171,0,661,9,22,0,1023",1
"9,1023,3,1762,9,285,3,204,9,138,3,1023,9,1705,16,4774",2
"14,49,1,293,14,12,1,330,14,48,1,294,14,22,1,320,14,106,1,236,14,50,1,282,9,10,14,50,1,292,14,233,1,109,14,86,1,254,9,2,14,175,1,167,14,218,1,113,9,11,14,74,1,261,9,4,15,3,14,63,1,278,14,19,1,323,14,88,1,254,14,33,1,309,14,29,1,313,14,62,1,280,14,39,1,303,14,37,1,305,14,28,1,314,14,33,1,309,14,29,1,3723",1
"9,1023,16,9888",4
"14,180,7,162,14,31,7,310,14,171,7,171,14,57,7,285,14,80,7,262,14,140,7,202,14,114,7,228,14,57,7,285,14,46,7,296,14,121,7,221,14,29,7,313,14,193,7,149,14,93,7,248,14,76,7,266,14,63,7,279,14,27,7,315,14,38,7,304,14,62,7,279,14,31,7,310,14,35,7,307,14,31,7,310,14,11,7,331,14,16,7,326,14,11,7,331,14,10,7,1354,16,1364",3
"14,72,5,267,9,4,14,78,5,264,14,35,5,307,14,31,5,299,9,12,14,31,5,310,14,103,5,239,14,15,5,327,14,24,5,1000,16,7501",4
"11,674,12,7,9,3,11,1016,9,8,11,7158,9,2,11,334,9,8,11,337,9,5,11,337,9,5,11,1364",3
