empl_id,start_date,glc,l2_org
24757,2014-01-06 00:00:00,L4 Employees,DS: Digital Services
24765,2014-02-03 00:00:00,L4 Employees,LM: Logistics
24767,2014-02-03 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24768,2014-02-10 00:00:00,Not Applicable,SL: Legacy
24770,2014-02-18 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24772,2014-02-24 00:00:00,Not Applicable,SL: Legacy
24773,2014-03-04 00:00:00,L4 Employees,DS: Digital Services
24775,2014-03-10 00:00:00,Not Applicable,SL: Legacy
24776,2014-03-18 00:00:00,L4 Employees,LM: Logistics
24777,2014-03-18 00:00:00,L4 Employees,DS: Digital Services
24778,2014-03-18 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24779,2014-03-18 00:00:00,Not Applicable,SL: Legacy
24781,2014-03-24 00:00:00,L4 Employees,AA: Advanced Analytics
24785,2014-03-31 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24788,2014-04-07 00:00:00,L4 Employees,AA: Advanced Analytics
24791,2014-05-12 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24797,2014-06-02 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24802,2014-06-10 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24806,2014-06-23 00:00:00,L4 Employees,LM: Logistics
24807,2016-10-03 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24808,2014-06-30 00:00:00,Not Applicable,SL: Legacy
24810,2014-06-30 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24811,2014-07-07 00:00:00,L4 Employees,DS: Digital Services
24815,2014-07-21 00:00:00,L4 Employees,LM: Logistics
24818,2014-07-28 00:00:00,L4 Employees,LM: Logistics
24828,2014-08-25 00:00:00,L4 Employees,AA: Advanced Analytics
24830,2014-09-22 00:00:00,L2 Management,AA: Advanced Analytics
24831,2014-09-02 00:00:00,L4 Employees,AA: Advanced Analytics
24833,2016-06-20 00:00:00,L4 Employees,AA: Advanced Analytics
24837,2014-09-08 00:00:00,L4 Employees,AA: Advanced Analytics
24838,2014-09-08 00:00:00,L4 Employees,AA: Advanced Analytics
24840,2014-09-15 00:00:00,L4 Employees,LM: Logistics
24841,2014-09-22 00:00:00,L4 Employees,AA: Advanced Analytics
24848,2014-09-29 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24849,2014-09-29 00:00:00,Not Applicable,SL: Legacy
24852,2014-09-29 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24853,2014-10-06 00:00:00,L4 Employees,DS: Digital Services
24855,2014-10-06 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24857,2014-10-06 00:00:00,L4 Employees,LM: Logistics
24859,2014-10-06 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24861,2014-10-14 00:00:00,Not Applicable,SL: Legacy
24862,2014-10-20 00:00:00,L4 Employees,LM: Logistics
24867,2014-10-27 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24872,2014-11-17 00:00:00,L4 Employees,LM: Logistics
24873,2014-11-24 00:00:00,L4 Employees,DS: Digital Services
24875,2014-11-17 00:00:00,Not Applicable,SL: Legacy
24877,2014-11-17 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24880,2014-12-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24881,2014-11-24 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24883,2014-11-24 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24884,2014-11-24 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24885,2014-12-01 00:00:00,Not Applicable,SL: Legacy
24889,2017-07-17 00:00:00,L4 Employees,DS: Digital Services
24891,2014-12-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24892,2014-12-01 00:00:00,L4 Employees,AA: Advanced Analytics
24893,2014-12-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24894,2014-12-08 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24895,2014-12-15 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24897,2014-12-15 00:00:00,Not Applicable,SL: Legacy
24898,2014-12-22 00:00:00,L4 Employees,DS: Digital Services
24899,2015-01-05 00:00:00,L4 Employees,LM: Logistics
24900,2015-01-05 00:00:00,Not Applicable,SL: Legacy
24901,2015-01-05 00:00:00,L4 Employees,AA: Advanced Analytics
24902,2015-01-09 00:00:00,Not Applicable,SL: Legacy
24903,2015-01-05 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24904,2015-01-05 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24906,2015-01-12 00:00:00,L4 Employees,DS: Digital Services
24908,2016-07-11 00:00:00,L4 Employees,AA: Advanced Analytics
24910,2015-01-20 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24912,2015-01-26 00:00:00,Not Applicable,SL: Legacy
24913,2015-01-26 00:00:00,L4 Employees,LM: Logistics
24916,2015-02-02 00:00:00,L4 Employees,DS: Digital Services
24919,2015-02-09 00:00:00,L4 Employees,LM: Logistics
24920,2015-02-09 00:00:00,L4 Employees,DS: Digital Services
24922,2015-02-18 00:00:00,L4 Employees,AA: Advanced Analytics
24923,2015-02-18 00:00:00,L4 Employees,AA: Advanced Analytics
24925,2015-02-18 00:00:00,L4 Employees,AA: Advanced Analytics
24928,2015-02-18 00:00:00,Not Applicable,SL: Legacy
24929,2015-02-23 00:00:00,L4 Employees,DS: Digital Services
24930,2015-03-02 00:00:00,L4 Employees,DS: Digital Services
24931,2015-03-02 00:00:00,L4 Employees,DS: Digital Services
24934,2015-03-02 00:00:00,L4 Employees,DS: Digital Services
24935,2015-03-02 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24936,2015-03-09 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24938,2015-03-09 00:00:00,Not Applicable,SL: Legacy
24939,2015-03-09 00:00:00,Not Applicable,SL: Legacy
24940,2015-03-09 00:00:00,L4 Employees,AA: Advanced Analytics
24941,2015-03-09 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24943,2015-03-16 00:00:00,L4 Employees,DS: Digital Services
24944,2015-03-16 00:00:00,L4 Employees,LM: Logistics
24945,2015-03-16 00:00:00,Not Applicable,SL: Legacy
24946,2015-03-16 00:00:00,L4 Employees,DS: Digital Services
24947,2015-03-16 00:00:00,L4 Employees,LM: Logistics
24948,2015-03-16 00:00:00,L4 Employees,AA: Advanced Analytics
24950,2015-03-30 00:00:00,L4 Employees,DS: Digital Services
24952,2015-03-23 00:00:00,L4 Employees,DS: Digital Services
24953,2015-03-23 00:00:00,L4 Employees,DS: Digital Services
24954,2015-03-23 00:00:00,L4 Employees,DS: Digital Services
24956,2015-04-06 00:00:00,Not Applicable,SL: Legacy
24958,2015-04-06 00:00:00,L4 Employees,AA: Advanced Analytics
24962,2015-04-13 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24968,2015-04-20 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24969,2015-04-27 00:00:00,Not Applicable,SL: Legacy
24971,2015-04-27 00:00:00,L4 Employees,LM: Logistics
24973,2015-04-27 00:00:00,L4 Employees,LM: Logistics
24974,2015-04-27 00:00:00,L4 Employees,DS: Digital Services
24975,2015-04-27 00:00:00,L4 Employees,LM: Logistics
24977,2015-05-04 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24979,2015-05-06 00:00:00,Not Applicable,SL: Legacy
24981,2015-05-11 00:00:00,L4 Employees,AA: Advanced Analytics
24984,2015-05-11 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24986,2015-05-11 00:00:00,L4 Employees,LM: Logistics
24988,2015-05-11 00:00:00,L4 Employees,AA: Advanced Analytics
24989,2015-05-11 00:00:00,L4 Employees,DS: Digital Services
24990,2015-05-18 00:00:00,L4 Employees,AA: Advanced Analytics
24991,2015-05-18 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
24992,2015-05-18 00:00:00,L4 Employees,DS: Digital Services
24996,2015-12-16 00:00:00,L4 Employees,LM: Logistics
25001,2015-05-26 00:00:00,L4 Employees,LM: Logistics
25002,2015-05-26 00:00:00,Not Applicable,SL: Legacy
25004,2015-05-26 00:00:00,Not Applicable,SL: Legacy
25005,2015-06-01 00:00:00,L4 Employees,AA: Advanced Analytics
25007,2015-06-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25009,2015-06-01 00:00:00,L4 Employees,LM: Logistics
25013,2015-06-08 00:00:00,L4 Employees,LM: Logistics
25014,2015-06-08 00:00:00,Not Applicable,SL: Legacy
25018,2015-06-15 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25019,2015-06-15 00:00:00,L4 Employees,LM: Logistics
25020,2015-06-22 00:00:00,L4 Employees,LM: Logistics
25021,2015-06-22 00:00:00,Not Applicable,SL: Legacy
25023,2015-06-22 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25027,2015-06-29 00:00:00,L3 Management,MA: Mgmt Advisory Svcs
25028,2015-06-29 00:00:00,L4 Employees,AA: Advanced Analytics
25029,2015-06-29 00:00:00,L4 Employees,AA: Advanced Analytics
25031,2015-07-06 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25032,2015-07-06 00:00:00,L4 Employees,LM: Logistics
25033,2018-10-09 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25035,2015-07-13 00:00:00,L4 Employees,DS: Digital Services
25036,2015-07-13 00:00:00,L4 Employees,LM: Logistics
25037,2015-07-20 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25038,2015-07-20 00:00:00,L4 Employees,DS: Digital Services
25040,2015-07-27 00:00:00,L4 Employees,DS: Digital Services
25041,2015-07-27 00:00:00,L4 Employees,AA: Advanced Analytics
25042,2015-07-27 00:00:00,Not Applicable,SL: Legacy
25043,2015-08-03 00:00:00,Not Applicable,SL: Legacy
25044,2015-08-03 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25048,2015-08-03 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25051,2015-08-03 00:00:00,L4 Employees,DS: Digital Services
25052,2015-08-03 00:00:00,L4 Employees,AA: Advanced Analytics
25053,2015-08-03 00:00:00,L4 Employees,AA: Advanced Analytics
25056,2015-08-03 00:00:00,L4 Employees,DS: Digital Services
25057,2015-08-03 00:00:00,L4 Employees,LM: Logistics
25059,2015-08-10 00:00:00,L4 Employees,DS: Digital Services
25075,2015-08-24 00:00:00,L4 Employees,DS: Digital Services
25077,2015-08-31 00:00:00,L4 Employees,LM: Logistics
25078,2015-08-31 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25079,2018-12-12 00:00:00,L4 Employees,DS: Digital Services
25081,2015-08-31 00:00:00,L4 Employees,AA: Advanced Analytics
25082,2015-09-08 00:00:00,Not Applicable,SL: Legacy
25083,2015-09-14 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25086,2015-09-28 00:00:00,L4 Employees,LM: Logistics
25087,2015-09-28 00:00:00,L4 Employees,LM: Logistics
25088,2015-09-28 00:00:00,L4 Employees,LM: Logistics
25089,2015-09-28 00:00:00,L4 Employees,DS: Digital Services
25091,2015-09-28 00:00:00,L4 Employees,AA: Advanced Analytics
25094,2015-10-01 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25095,2015-10-05 00:00:00,L4 Employees,DS: Digital Services
25096,2015-10-05 00:00:00,Not Applicable,SL: Legacy
25097,2015-10-05 00:00:00,L4 Employees,LM: Logistics
25100,2015-10-05 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25106,2015-10-13 00:00:00,Not Applicable,SL: Legacy
25109,2015-10-19 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25113,2015-10-19 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25115,2015-10-26 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25116,2015-10-26 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25117,2015-11-02 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25120,2015-11-16 00:00:00,L4 Employees,LM: Logistics
25121,2015-11-16 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25122,2015-11-16 00:00:00,L4 Employees,LM: Logistics
25123,2015-11-16 00:00:00,L4 Employees,LM: Logistics
25127,2015-11-23 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25130,2015-11-30 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25133,2015-11-30 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25134,2015-11-30 00:00:00,Not Applicable,SL: Legacy
25137,2015-12-07 00:00:00,L4 Employees,LM: Logistics
25142,2015-12-07 00:00:00,L4 Employees,DS: Digital Services
25143,2015-12-14 00:00:00,L4 Employees,LM: Logistics
25144,2015-12-14 00:00:00,Not Applicable,SL: Legacy
25147,2015-12-14 00:00:00,L4 Employees,DS: Digital Services
25150,2016-01-04 00:00:00,L4 Employees,LM: Logistics
25151,2016-01-04 00:00:00,L4 Employees,LM: Logistics
25153,2016-01-04 00:00:00,Not Applicable,SL: Legacy
25155,2016-01-04 00:00:00,L4 Employees,DS: Digital Services
25156,2016-01-11 00:00:00,Not Applicable,SL: Legacy
25157,2019-01-14 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25160,2016-01-19 00:00:00,L4 Employees,MA: Mgmt Advisory Svcs
25162,2016-02-01 00:00:00,L4 Employees,AA: Advanced Analytics
